FILE,YEAR,SPEAKER,EVENT DESCRIPTION,DATE,GENRE,PLACE,SETTING,Running Time
MCSKL025a,2022,SPK7001; SPK7002; SPK7003,SPK7002 and SPK7003 are perusing some websites looking for clothing items to purchase for their relatives. They discuss clothing and the academic progress of younger relatives. SPK7001 joins in to inspect the clothes.,2022-05-19,Task-directed talk,West Kazakhstan,City,00:20:12
MCSKL026,2022,SPK5001; SPK5002; SPK5003,"A daughter (SPK5003), mother (SPK5002) and father (SPK5001) are having lunch in their kitchen at home. They talk about various things, including the school matters of the youngest son, the daughter's recently obtained diploma and her health.",2022-06-18,Conversation,West Kazakhstan,City,00:20:00
MCSKL027,2022,SPK4003; SPK4004; SPK4005,A family is having breakfast in the kitchen. SPK4003 is talking with her husband (SPK4004) about errands and an upcoming trip. Their daughter (SPK4005) occasionally joins to discuss some errands before leaving for work.,2022-08-15,Conversation,Astana,City,00:19:56
MCSKL028,2022,SPK6003; SPK6004; SPK6005; SPK6006,A group of relatives discusses the experience of one of them (SPK6004) marrying into a Tajik family and moving to Dushanbe. Participants compare the daily routines of newlywed brides in Tajikistan and Kazakhstan. They share personal stories to comment on cultural practices related to marriage.,2022-11-06,Conversation,Central Kazakhstan,City,00:20:01
MCSKL029,2022,SPK4006; SPK4007,"Two young women discuss a wide range of everyday topics including their studies, the weather, hobbies, and celebrities.",2022-07-21,Conversation,Unknown,Unknown,00:21:39
MCSKL030,2021,SPK4008; SPK4009,"Conversation between friends. TW: towards the end, participants discuss their opinions on abortion with terms that may be upsetting.",2021-02-08,Conversation,Unknown,Unknown,00:20:01
MCSKL031,2022,SPK6009; SPK6010; SPK6011,Three students discuss their university life. SPK6010 is older than the other two participants and gives them advice about their academic career.,2022-05-16,Conversation,East Kazakhstan,City,00:40:01
MCSKL032,2021,SPK4010; SPK4011,Participants discuss their plans to apply to academic programs and life plans.,2021-04-08,Interview,Online,Online,00:10:16
MCSKL033,2021,SPK5004; SPK5005; SPK5006,Three friends meet at a cafe to discuss life events.,2021-04-07,Conversation,Unknown,Unknown,00:20:00
MCSKL025b,2022,SPK7001; SPK7002; SPK7003,"Continuation of MCSKL025a, where family members are purchasing clothes online.",2022-05-19,Task-directed talk,West Kazakhstan,City,00:20:12
